"id","date_releve","phase1","phase2","phase3","consommation_jour","cout_total","photo_phase1","photo_phase2","photo_phase3"
50,"2025-03-07","1581331.00","1533928.00","1556538.00","7765.00","2259.61500",NULL,NULL,NULL
51,"2025-03-10","1587277.00","1539313.00","1562463.00","17256.00","5021.49600",NULL,NULL,NULL
52,"2025-03-11","1590188.00","1542092.00","1565339.00","8566.00","2492.70600",NULL,NULL,NULL
53,"2025-03-12","1593038.00","1544797.00","1568157.00","8373.00","2436.54300",NULL,NULL,NULL
54,"2025-03-13","1595934.00","1547539.00","1571026.00","8507.00","2475.53700",NULL,NULL,NULL
55,"2025-03-14","1598751.00","1550252.00","1573832.00","8336.00","2425.77600",NULL,NULL,NULL
56,"2025-03-17","1604410.00","1555402.00","1579510.00","16487.00","4797.71700",NULL,NULL,NULL
57,"2025-03-18","1607191.00","1558056.00","1582252.00","8177.00","2379.50700",NULL,NULL,NULL
58,"2025-03-19","1610189.00","1560916.00","1585181.00","8787.00","2557.01700",NULL,NULL,NULL
59,"2025-03-20","1612985.00","1563567.00","1587933.00","8199.00","2385.90900",NULL,NULL,NULL
60,"2025-03-21","1615502.00","1565936.00","1590406.00","7359.00","2141.46900",NULL,NULL,NULL
61,"2025-03-24","1621439.00","1571423.00","1596269.00","17287.00","5030.51700",NULL,NULL,NULL
62,"2025-03-25","1624532.00","1574403.00","1599323.00","9127.00","2655.95700",NULL,NULL,NULL
63,"2025-03-26","1627645.00","1577405.00","1602400.00","9192.00","2674.87200",NULL,NULL,NULL
64,"2025-03-27","1630224.00","1579828.00","1604895.00","7497.00","2181.62700",NULL,NULL,NULL
65,"2025-03-28","1632881.00","1582368.00","1607502.00","7804.00","2270.96400",NULL,NULL,NULL
66,"2025-04-01","1638542.00","1587301.00","1612937.00","16029.00","4664.43900",NULL,NULL,NULL
67,"2025-04-02","1639616.00","1588173.00","1613937.00","2946.00","857.28600",NULL,NULL,NULL
68,"2025-04-03","1642348.00","1590802.00","1616598.00","8022.00","2334.40200",NULL,NULL,NULL
69,"2025-04-04","1645146.00","1593499.00","1619344.00","8241.00","2398.13100",NULL,NULL,NULL
70,"2025-04-07","1650967.00","1598947.00","1625163.00","17088.00","4972.60800",NULL,NULL,NULL
71,"2025-04-08","1653946.00","1601830.00","1628110.00","8809.00","2563.41900",NULL,NULL,NULL
72,"2025-04-09","1657008.00","1604816.00","1631141.00","9079.00","2641.98900",NULL,NULL,NULL
73,"2025-04-10","1659921.00","1607646.00","1634007.00","8609.00","2505.21900",NULL,NULL,NULL
74,"2025-04-11","1662922.00","1610584.00","1636996.00","8928.00","2598.04800",NULL,NULL,NULL
75,"2025-04-14","1669340.00","1616546.00","1643236.00","18620.00","5418.42000",NULL,NULL,NULL
76,"2025-04-15","1672475.00","1619590.00","1646283.00","9226.00","2684.76600",NULL,NULL,NULL
77,"2025-04-16","1675501.00","1622508.00","1649219.00","8880.00","2584.08000",NULL,NULL,NULL
78,"2025-04-17","1678495.00","1625400.00","1652155.00","8822.00","2567.20200",NULL,NULL,NULL
79,"2025-04-18","1681263.00","1628068.00","1654877.00","8158.00","2373.97800",NULL,NULL,NULL
80,"2025-04-21","1687703.00","1634163.00","1661225.00","18883.00","5494.95300",NULL,NULL,NULL
81,"2025-04-22","1690724.00","1637082.00","1664221.00","8936.00","2600.37600",NULL,NULL,NULL
82,"2025-04-23","1693652.00","1639886.00","1667124.00","8635.00","2512.78500",NULL,NULL,NULL
83,"2025-04-24","1696665.00","1642759.00","1670128.00","8890.00","2586.99000",NULL,NULL,NULL
84,"2025-04-25","1699744.00","1645722.00","1673197.00","9111.00","2651.30100",NULL,NULL,NULL
85,"2025-04-28","1705736.00","1651179.00","1679119.00","17371.00","5054.96100",NULL,NULL,NULL
86,"2025-04-29","1708998.00","1654292.00","1682326.00","9582.00","2788.36200",NULL,NULL,NULL
87,"2025-04-30","1712077.00","1657255.00","1685379.00","9095.00","2646.64500",NULL,NULL,NULL
88,"2025-05-02","1717268.00","1662159.00","1690413.00","15129.00","4402.53900",NULL,NULL,NULL
89,"2025-05-05","1724043.00","1668398.00","1696990.00","19591.00","5700.98100",NULL,NULL,NULL
90,"2025-05-06","1727106.00","1671352.00","1699978.00","9005.00","2620.45500",NULL,NULL,NULL
91,"2025-05-07","1730645.00","1674724.00","1703432.00","10365.00","3016.21500",NULL,NULL,NULL
92,"2025-05-08","1734042.00","1677986.00","1706766.00","9993.00","2907.96300",NULL,NULL,NULL
93,"2025-05-09","1737463.00","1681323.00","1710105.00","10097.00","2938.22700",NULL,NULL,NULL
94,"2025-05-12","1743921.00","1687282.00","1716367.00","18679.00","5435.58900",NULL,NULL,NULL
95,"2025-05-13","1747137.00","1690374.00","1719500.00","9441.00","2747.33100",NULL,NULL,NULL
96,"2025-05-14","1750446.00","1693546.00","1722742.00","9723.00","2829.39300",NULL,NULL,NULL
97,"2025-05-15","1753759.00","1696716.00","1725982.00","9723.00","2829.39300",NULL,NULL,NULL
98,"2025-05-16","1756849.00","1699629.00","1729000.00","9021.00","2625.11100",NULL,NULL,NULL
99,"2025-05-19","1764624.00","1706958.00","1736605.00","22709.00","6608.31900",NULL,NULL,NULL
100,"2025-05-20","1768300.00","1710468.00","1740167.00","10748.00","3127.66800",NULL,NULL,NULL
101,"2025-05-21","1772041.00","1714060.00","1743822.00","10988.00","3197.50800",NULL,NULL,NULL
102,"2025-05-22","1775668.00","1717545.00","1747386.00","10676.00","3106.71600",NULL,NULL,NULL
103,"2025-05-23","1779077.00","1720873.00","1750725.00","10076.00","2932.11600",NULL,NULL,NULL
104,"2025-05-26","1785937.00","1727212.00","1757404.00","19878.00","5784.49800",NULL,NULL,NULL
105,"2025-05-27","1789306.00","1730454.00","1760696.00","9903.00","2881.77300",NULL,NULL,NULL
106,"2025-05-28","1792807.00","1733851.00","1764104.00","10306.00","2999.04600",NULL,NULL,NULL
107,"2025-05-29","1796406.00","1737363.00","1767622.00","10629.00","3093.03900",NULL,NULL,NULL
108,"2025-05-30","1800044.00","1740880.00","1771176.00","10709.00","3116.31900",NULL,NULL,NULL
109,"2025-06-02","1808977.00","1749364.00","1779852.00","26093.00","7593.06300",NULL,NULL,NULL
110,"2025-06-03","1812883.00","1753128.00","1783687.00","11505.00","3347.95500",NULL,NULL,NULL
111,"2025-06-04","1816794.00","1756961.00","1787524.00","11581.00","3370.07100",NULL,NULL,NULL
112,"2025-06-09","1823330.00","1762843.00","1793409.00","18303.00","5326.17300",NULL,NULL,NULL
113,"2025-06-10","1827506.00","1766922.00","1797437.00","12283.00","3574.35300",NULL,NULL,NULL
114,"2025-06-11","1831674.00","1770998.00","1801473.00","12280.00","3573.48000",NULL,NULL,NULL
115,"2025-06-12","1835494.00","1774721.00","1805168.00","11238.00","3270.25800",NULL,NULL,NULL
116,"2025-06-13","1839309.00","1778420.00","1808843.00","11189.00","3255.99900",NULL,NULL,NULL
117,"2025-06-16","1847755.00","1786405.00","1816971.00","24559.00","7146.66900",NULL,NULL,NULL
118,"2025-06-17","1851616.00","1790189.00","1820684.00","11358.00","3305.17800",NULL,NULL,NULL
119,"2025-06-18","1855473.00","1793928.00","1824421.00","11333.00","3297.90300",NULL,NULL,NULL
120,"2025-06-19","1859642.00","1797992.00","1828458.00","12270.00","3570.57000",NULL,NULL,NULL
121,"2025-06-20","1863734.00","1801995.00","1832422.00","12059.00","3509.16900",NULL,NULL,NULL
122,"2025-06-23","1872195.00","1810068.00","1840545.00","24657.00","7175.18700",NULL,NULL,NULL
123,"2025-06-24","1876341.00","1814086.00","1844505.00","12124.00","3528.08400",NULL,NULL,NULL
124,"2025-06-25","1880418.00","1818063.00","1848422.00","11971.00","3483.56100",NULL,NULL,NULL
125,"2025-06-26","1884664.00","1822217.00","1852505.00","12483.00","3632.55300",NULL,NULL,NULL
126,"2025-06-27","1888226.00","1825640.00","1855918.00","10398.00","3025.81800",NULL,NULL,NULL
127,"2025-06-30","1898365.00","1835411.00","1865651.00","29643.00","8626.11300",NULL,NULL,NULL
128,"2025-07-01","1902907.00","1839810.00","1869996.00","13286.00","3866.22600",NULL,NULL,NULL
129,"2025-07-02","1907355.00","1844182.00","1874270.00","13094.00","3810.35400",NULL,NULL,NULL
130,"2025-07-03","1911486.00","1848217.00","1878241.00","12137.00","3531.86700",NULL,NULL,NULL
131,"2025-07-04","1915921.00","1852561.00","1882514.00","13052.00","3798.13200",NULL,NULL,NULL
132,"2025-07-07","1925209.00","1861342.00","1891356.00","26911.00","7831.10100",NULL,NULL,NULL
133,"2025-07-08","1929941.00","1865939.00","1895880.00","13853.00","4031.22300",NULL,NULL,NULL
134,"2025-07-09","1934372.00","1870322.00","1900195.00","13129.00","3820.53900",NULL,NULL,NULL
135,"2025-07-10","1938711.00","1874594.00","1904428.00","12844.00","3737.60400",NULL,NULL,NULL
136,"2025-07-11","1942833.00","1878602.00","1908426.00","12128.00","3529.24800",NULL,NULL,NULL
137,"2025-07-14","1951017.00","1886353.00","1916220.00","23729.00","6905.13900",NULL,NULL,NULL
138,"2025-07-15","1955539.00","1890744.00","1920562.00","13255.00","3857.20500",NULL,NULL,NULL
139,"2025-07-16","1960047.00","1895161.00","1924882.00","13245.00","3854.29500",NULL,NULL,NULL
140,"2025-07-17","1964637.00","1899679.00","1929303.00","13529.00","3936.93900",NULL,NULL,NULL
141,"2025-07-18","1969148.00","1904142.00","1933653.00","13324.00","3877.28400",NULL,NULL,NULL
142,"2025-07-21","1977295.00","1911822.00","1941188.00","23362.00","6798.34200",NULL,NULL,NULL
143,"2025-07-22","1981882.00","1916262.00","1945484.00","13323.00","3876.99300",NULL,NULL,NULL
144,"2025-07-23","1986159.00","1920406.00","1949512.00","12449.00","3622.65900",NULL,NULL,NULL
145,"2025-07-24","1990615.00","1924710.00","1953730.00","12978.00","3776.59800",NULL,NULL,NULL
146,"2025-07-25","1995061.00","1929156.00","1958182.00","13344.00","3883.10400",NULL,NULL,NULL
147,"2025-07-28","1999845.00","1933277.00","1962162.00","12885.00","3749.53500",NULL,NULL,NULL
148,"2025-07-29","2004196.00","1937536.00","1966326.00","12774.00","3717.23400",NULL,NULL,NULL
149,"2025-07-30","2008519.00","1941775.00","1969850.00","12086.00","3517.02600",NULL,NULL,NULL
150,"2025-07-31","2012696.00","1945830.00","1974484.00","12866.00","3744.00600",NULL,NULL,NULL
151,"2025-08-01","2016901.00","1949914.00","1979150.00","12955.00","3769.90500",NULL,NULL,NULL
152,"2025-08-07","2022654.00","1955247.00","1983792.00","15728.00","4576.84800",NULL,NULL,NULL
153,"2025-08-08","2024139.00","1956567.00","1985085.00","4098.00","1192.51800",NULL,NULL,NULL
154,"2025-08-11","2027324.00","1959149.00","1987603.00","8285.00","2410.93500",NULL,NULL,NULL
155,"2025-08-12","2030988.00","1962720.00","1991052.00","10684.00","3109.04400",NULL,NULL,NULL
156,"2025-08-13","2035227.00","1966868.00","1995076.00","12411.00","3611.60100",NULL,NULL,NULL
157,"2025-08-14","2039480.00","1971037.00","1999121.00","12467.00","3627.89700",NULL,NULL,NULL
158,"2025-08-15","2043688.00","1975180.00","2003143.00","12373.00","3600.54300",NULL,NULL,NULL
159,"2025-08-18","2051133.00","1982108.00","2010069.00","21299.00","6198.00900",NULL,NULL,NULL
160,"2025-08-19","2055435.00","1986295.00","2014167.00","12587.00","3662.81700",NULL,NULL,NULL
161,"2025-08-20","2059834.00","1990553.00","2018315.00","12805.00","3726.25500",NULL,NULL,NULL
162,"2025-08-21","2064711.00","1995308.00","2023031.00","14348.00","4175.26800",NULL,NULL,NULL
163,"2025-08-22","2068573.00","1999079.00","2026757.00","11359.00","3305.46900",NULL,NULL,NULL
164,"2025-08-25","2076706.00","2006657.00","2034445.00","23399.00","6809.10900",NULL,NULL,NULL
165,"2025-08-26","2080922.00","2010764.00","2038486.00","12364.00","3597.92400",NULL,NULL,NULL
166,"2025-08-27","2085572.00","2015337.00","2042973.00","13710.00","3989.61000",NULL,NULL,NULL
167,"2025-08-28","2089979.00","2019602.00","2047165.00","12864.00","3743.42400",NULL,NULL,NULL
168,"2025-08-29","2094600.00","2024084.00","2051598.00","13536.00","3938.97600",NULL,NULL,NULL
169,"2025-09-01","2102456.00","2031350.00","2059015.00","22539.00","6558.84900",NULL,NULL,NULL
170,"2025-09-02","2106749.00","2035518.00","2063117.00","12563.00","3655.83300",NULL,NULL,NULL
171,"2025-09-03","2110658.00","2039296.00","2066847.00","11417.00","3322.34700",NULL,NULL,NULL
172,"2025-09-04","2114585.00","2043145.00","2070645.00","11574.00","3368.03400",NULL,NULL,NULL
173,"2025-09-05","2118528.00","2046969.00","2074421.00","11543.00","3359.01300",NULL,NULL,NULL
174,"2025-09-08","2124671.00","2052447.00","2080085.00","17285.00","5029.93500",NULL,NULL,NULL
175,"2025-09-09","2129188.00","2056819.00","2084332.00","13136.00","3822.57600",NULL,NULL,NULL
176,"2025-09-10","2133068.00","2060691.00","2088037.00","11457.00","3333.98700",NULL,NULL,NULL
177,"2025-09-11","2136930.00","2064464.00","2091741.00","11339.00","3299.64900",NULL,NULL,NULL
178,"2025-09-12","2140808.00","2068257.00","2095546.00","11476.00","3339.51600",NULL,NULL,NULL
179,"2025-09-15","2148680.00","2075592.00","2102716.00","22377.00","6511.70700",NULL,NULL,NULL
180,"2025-09-16","2152872.00","2079654.00","2106673.00","12211.00","3553.40100",NULL,NULL,NULL
181,"2025-09-17","2157087.00","2083707.00","2110638.00","12233.00","3559.80300",NULL,NULL,NULL
182,"2025-09-18","2161311.00","2087794.00","2114646.00","12319.00","3584.82900",NULL,NULL,NULL
183,"2025-09-19","2165306.00","2091672.00","2118437.00","11664.00","3394.22400",NULL,NULL,NULL
184,"2025-09-22","2173543.00","2099237.00","2126067.00","23432.00","6818.71200",NULL,NULL,NULL
185,"2025-09-23","2177681.00","2103220.00","2130001.00","12055.00","3508.00500",NULL,NULL,NULL
186,"2025-09-24","2181674.00","2107054.00","2133794.00","11620.00","3381.42000",NULL,NULL,NULL
187,"2025-09-25","2185053.00","2110250.00","2136996.00","9777.00","2845.10700",NULL,NULL,NULL
188,"2025-09-26","2188451.00","2113471.00","2140207.00","9830.00","2860.53000",NULL,NULL,NULL
189,"2025-09-29","2194628.00","2118975.00","2145917.00","17391.00","5060.78100",NULL,NULL,NULL
190,"2025-09-30","2197732.00","2121915.00","2148852.00","8979.00","2612.88900",NULL,NULL,NULL
191,"2025-10-01","2201059.00","2125119.00","2152009.00","9688.00","2819.20800",NULL,NULL,NULL
192,"2025-10-02","2204328.00","2128178.00","2155198.00","9517.00","2769.44700",NULL,NULL,NULL
193,"2025-10-03","2207648.00","2131373.00","2158305.00","9622.00","2800.00200",NULL,NULL,NULL
194,"2025-10-13","2229754.00","2151268.00","2178888.00","62584.00","18211.94400",NULL,NULL,NULL
195,"2025-10-14","2233328.00","2154595.00","2182335.00","10348.00","3011.26800",NULL,NULL,NULL
196,"2025-10-15","2236860.00","2157890.00","2185755.00","10247.00","2981.87700",NULL,NULL,NULL
197,"2025-10-16","2240267.00","2161112.00","2189112.00","9986.00","2905.92600",NULL,NULL,NULL
198,"2025-10-17","2243223.00","2163878.00","2192012.00","8622.00","2509.00200",NULL,NULL,NULL
199,"2025-10-20","2248394.00","2168286.00","2196853.00","14420.00","4196.22000",NULL,NULL,NULL
200,"2025-10-21","2251156.00","2170810.00","2199484.00","7917.00","2303.84700",NULL,NULL,NULL
201,"2025-10-22","2254497.00","2173932.00","2202687.00","9666.00","2812.80600",NULL,NULL,NULL
202,"2025-10-23","2257985.00","2177212.00","2206056.00","10137.00","2949.86700",NULL,NULL,NULL
203,"2025-10-24","2261478.00","2180512.00","2209440.00","10177.00","2961.50700",NULL,NULL,NULL
204,"2025-11-03","2283914.00","2200304.00","2230649.00","63437.00","18460.16700",NULL,NULL,NULL
205,"2025-11-04","2287024.00","2203136.00","2233615.00","8908.00","2592.22800",NULL,NULL,NULL
206,"2025-11-05","2289762.00","2205599.00","2236200.00","7786.00","2265.72600",NULL,NULL,NULL
207,"2025-11-06","2292620.00","2208179.00","2238890.00","8128.00","2365.24800",NULL,NULL,NULL
208,"2025-11-07","2295429.00","2210739.00","2241545.00","8024.00","2334.98400",NULL,NULL,NULL
209,"2025-11-17","2314327.00","2227175.00","2258935.00","52724.00","15342.68400",NULL,NULL,NULL
210,"2025-11-18","2316211.00","2228739.00","2260628.00","5141.00","1496.03100",NULL,NULL,NULL
211,"2025-11-19","2319218.00","2231191.00","2263532.00","8363.00","2433.63300",NULL,NULL,NULL
212,"2025-11-20","2322152.00","2234185.00","2266369.00","8765.00","2550.61500",NULL,NULL,NULL
213,"2025-11-21","2325079.00","2236863.00","2269141.00","8377.00","2437.70700",NULL,NULL,NULL
214,"2025-11-24","2329292.00","2240245.00","2272882.00","11336.00","3298.77600",NULL,NULL,NULL
215,"2025-11-25","2331841.00","2242575.00","2275259.00","7256.00","2111.49600",NULL,NULL,NULL
216,"2025-11-26","2334452.00","2244957.00","2277691.00","7425.00","2160.67500",NULL,NULL,NULL
217,"2025-11-27","2337023.00","2247345.00","2280102.00","7370.00","2144.67000",NULL,NULL,NULL
218,"2025-11-28","2339757.00","2249911.00","2282679.00","7877.00","2292.20700",NULL,NULL,NULL
219,"2025-12-01","2343990.00","2253502.00","2286644.00","11789.00","3430.59900",NULL,NULL,NULL
220,"2025-12-02","2346234.00","2255573.00","2288732.00","6403.00","1863.27300",NULL,NULL,NULL
221,"2025-12-03","2348732.00","2257864.00","2291067.00","7124.00","2073.08400",NULL,NULL,NULL
222,"2025-12-04","2351318.00","2260227.00","2293498.00","7380.00","2147.58000",NULL,NULL,NULL
223,"2025-12-05","2353749.00","2262439.00","2295778.00","6923.00","2014.59300",NULL,NULL,NULL
224,"2025-12-15","2369939.00","2276870.00","2311594.00","46437.00","13513.16700",NULL,NULL,NULL
225,"2025-12-16","2372448.00","2279168.00","2314090.00","7303.00","2125.17300",NULL,NULL,NULL
226,"2025-12-17","2375025.00","2281597.00","2316631.00","7547.00","2196.17700",NULL,NULL,NULL
227,"2025-12-18","2377272.00","2283680.00","2318830.00","6529.00","1899.93900",NULL,NULL,NULL
228,"2025-12-19","2380272.00","2286517.00","2321777.00","8784.00","2556.14400",NULL,NULL,NULL
229,"2025-12-22","2384959.00","2290562.00","2326151.00","13106.00","3813.84600",NULL,NULL,NULL
230,"2025-12-23","2387336.00","2292803.00","2328420.00","6887.00","2004.11700",NULL,NULL,NULL
231,"2025-12-24","2389894.00","2295228.00","2330875.00","7438.00","2164.45800",NULL,NULL,NULL
232,"2025-12-25","2392359.00","2297519.00","2333223.00","7104.00","2067.26400",NULL,NULL,NULL
233,"2025-12-26","2393910.00","2298908.00","2334707.00","4424.00","1287.38400",NULL,NULL,NULL
234,"2025-12-29","2396573.00","2301184.00","2337095.00","7327.00","2132.15700",NULL,NULL,NULL
235,"2025-12-29","2396573.00","2301184.00","2337095.00","7327.00","2132.15700",NULL,NULL,NULL
236,"2026-01-05","2400097.00","2303907.00","2339988.00","9140.00","2659.74000",NULL,NULL,NULL
237,"2026-01-06","2401835.00","2305511.00","2341578.00","4932.00","1435.21200",NULL,NULL,NULL
238,"2026-01-07","2404085.00","2307648.00","2343700.00","6509.00","1894.11900",NULL,NULL,NULL
239,"2026-01-08","2406454.00","2309899.00","2345938.00","6858.00","1995.67800",NULL,NULL,NULL
240,"2026-01-09","2409004.00","2312339.00","2348369.00","7421.00","2159.51100",NULL,NULL,NULL
241,"2026-01-12","2412843.00","2315727.00","2351999.00","10857.00","3159.38700",NULL,NULL,NULL
242,"2026-01-14","2418128.00","2320747.00","2357118.00","15424.00","4488.38400",NULL,NULL,NULL
243,"2026-01-15","2420842.00","2323326.00","2359790.00","7965.00","2317.81500",NULL,NULL,NULL
244,"2026-01-16","2423475.00","2325810.00","2362358.00","7685.00","2236.33500",NULL,NULL,NULL
245,"2026-01-19","2427679.00","2329423.00","2366252.00","11711.00","3407.90100",NULL,NULL,NULL
246,"2026-01-20","2430185.00","2331794.00","2368622.00","7247.00","2108.87700",NULL,NULL,NULL
247,"2026-01-21","2432564.00","2334053.00","2370855.00","6871.00","1999.46100",NULL,NULL,NULL
248,"2026-01-22","2435316.00","2336653.00","2373413.00","7910.00","2301.81000",NULL,NULL,NULL
249,"2026-01-23","2437863.00","2339049.00","2375781.00","7311.00","2127.50100",NULL,NULL,NULL
250,"2026-01-26","2441620.00","2342213.00","2379281.00","10421.00","3032.51100",NULL,NULL,NULL
251,"2026-01-27","2444556.00","2344971.00","2382085.00","8498.00","2472.91800",NULL,NULL,NULL
252,"2026-01-28","2447218.00","2347486.00","2384635.00","7727.00","2248.55700",NULL,NULL,NULL
253,"2026-01-29","2449868.00","2349996.00","2387151.00","7676.00","2233.71600",NULL,NULL,NULL
254,"2026-01-30","2452743.00","2352684.00","2389834.00","8246.00","2399.58600",NULL,NULL,NULL
255,"2026-02-02","2458648.00","2357935.00","2395313.00","16635.00","4840.78500",NULL,NULL,NULL
256,"2026-02-03","2461146.00","2360288.00","2397665.00","7203.00","2096.07300",NULL,NULL,NULL
257,"2026-02-04","2464093.00","2363097.00","2400485.00","8576.00","2495.61600",NULL,NULL,NULL
258,"2026-02-05","2466827.00","2365691.00","2403099.00","7942.00","2311.12200",NULL,NULL,NULL
259,"2026-02-06","2469009.00","2368700.00","2406110.00","8202.00","2386.78200",NULL,NULL,NULL
260,"2026-02-09","2474396.00","2372552.00","2410114.00","13243.00","3853.71300",NULL,NULL,NULL
261,"2026-02-10","2477083.00","2375136.00","2412673.00","7830.00","2278.53000",NULL,NULL,NULL
262,"2026-02-11","2479951.00","2377887.00","2415419.00","8365.00","2434.21500",NULL,NULL,NULL
263,"2026-02-12","2482532.00","2380351.00","2417876.00","7502.00","2183.08200",NULL,NULL,NULL
